ID,Provider_id,Offer_name,Price,Product_type
3,1,.Fibra 50 MB,32.0 €,A
4,1,.ADSL 30 MB,35.3 €,B
5,1,.TV Esencial,12.0 €,B
6,1,.TV Extra,18.0 €,C
7,1,.TV Total,24.0 €,C
10,1,.3G,45.0 €,C
11,1,.Fijo en tu Casa,15.0 €,A
13,1,.Mini S,14.0 €,B
14,1,.Smart S,20.0 €,B
16,1,.Red XL,52.0 €,C
23,1,.Tv esencial,12.0 €,C
26,1,.Red M,28.0 €,C
27,1,.TV Extra,18.0 €,A
28,1,.TV Total,24.0 €,B
29,1,.Mini Voz,8.0 €,B
30,1,.Mini S,14.0 €,C
31,1,Smart S,20.0 €,C
32,1,...Red M,28.0 €,C
34,1,.Red XL,52.0 €,A
35,1,.Red L,36.0 €,B
98,1,.ADSL + TV,35.3 €,B
147,1,.ADSL + TV,35.3 €,C
148,1,.Fijo en tu Casa,15.0 €,C
170,1,.3G,45.0 €,C
179,1,.Fibra 30MB,33.1 €,A
341,1,FIJO VODAFONE,18.0 €,B
342,1,Vodafone Bares,150.0 €,B
409,1,..Red L,50.0 €,C
410,1,..Red M,40.0 €,C
411,1,.Red S,30.0 €,C
413,1,HORECA,193.6 €,A
5258,1,.FIBRA 120 MB + Movil M + TV  Total,55.2 €,B
5311,1,FIBRA 300MB + Movil L,94.0 €,B
5313,1,.FIBRA 300MB + Movil L + TV Extra,73.2 €,C
5314,1,.120 MB + TV Total,50.1 €,C
5315,1,.FIBRA 300 MB + Movil S + TV  Extra,67.6 €,C
5316,1,.FIBRA 300 MB + Movil XL + TV  Extra,102.8 €,A
5317,1, Adsl + Movil Móvil Smart S ,58.0 €,B
5321,1,Adsl + Movil Móvil M,69.0 €,B
5322,1,Adsl + Movil Móvil L,82.0 €,C
5323,1,.3G + Movil Mini S,42.2 €,C
5324,1,.Adsl + Movil Mini S + Tv esencial,36.0 €,C
5325,1,.Adsl + Movil Móvil Mini S ,36.0 €,A
5326,1,.Adsl + Movil Mini S + Tv Extra,42.0 €,B
5327,1,.Adsl + Movil Móvil XL,75.2 €,B
5328,1,.Adsl + Movil M + Tv esencial,60.8 €,C
5329,1,.Adsl + Movil M + Tv Extra,66.8 €,C
5330,1,.Adsl + Movil S + Tv esencial,52.0 €,C
5331,1,.Adsl + Movil XL + Tv esencial,75.2 €,A
5332,1,FIBRA 120 MB + Movil M,77.0 €,B
5333,1,.Adsl + Movil L + Tv esencial,69.6 €,B
5334,1,.Adsl + Movil L + Tv Total,63.6 €,C
5335,1,.Adsl + Movil Mini S + Tv Total,60.0 €,C
5336,1,.Adsl + Movil S + Tv Total,40.0 €,C
5337,1,.Adsl + Movil XL + Tv Extra,75.2 €,A
5339,1,.Adsl + Movil M + Tv Total,48.8 €,B
5341,1,.3G + Movil L,63.0 €,B
5342,1,.3G + Movil M,54.0 €,C
5343,1,.3G + Movil XL,81.0 €,C
5344,1,.3G + Movil S,45.0 €,C
5345,1,.Adsl + Movil L + Tv Extra,63.6 €,A
5347,1,.Adsl + Movil XL + Tv Total,75.2 €,B
5348,1,.FIBRA 120 MB + Movil L + TV  Extra,70.0 €,B
5349,1,.FIBRA 300MB + Movil L + TV Esencial,73.2 €,C
5350,1,.FIBRA 300MB + Movil L + TV Total,67.2 €,C
5351,1,.FIBRA 300 MB + Movil XL ,84.8 €,C
5352,1,.FIBRA 300 MB + Movil XL + TV  Esencial,84.8 €,A
5353,1,.Tv bares + adsl / fibra,134.3 €,B
5354,1,.FIBRA 50 MB + Movil XL + TV  Esencial,75.2 €,B
5355,1,.Adsl + Movil S + Tv Extra,58.0 €,C
5356,1,.300 MB + TV Esencial,66.1 €,C
5357,1,.FIBRA 120MB + Movil XL + TV  Extra,87.6 €,C
5358,1,Copia de FIBRA 120 MB + Movil M,77.0 €,A
5360,1,.120 MB + TV Esencial,62.1 €,B
5361,1,.50 MB + TV Esencial,53.1 €,B
5375,1,.50 MB + TV Extra,59.1 €,C
5379,1,.300 MB + TV Extra,72.1 €,C
5382,1,.120 MB + TV Extra,68.1 €,C
5384,1,.FIBRA 300 MB + Movil  S + TV  Esencial,61.6 €,A
5385,1,.FIBRA INDIRECTA 30 + Movil M,61.0 €,B
