,alcohol_diario,alcohol_finde,tiempo_libre,tiempo_amigos,tiempo_estudio,faltas
0,1,1,3,4,2,6
1,1,1,3,3,2,4
2,2,3,3,2,2,10
3,1,1,2,2,3,2
4,1,2,3,2,2,4
5,1,2,4,2,2,10
6,1,1,4,4,2,0
7,1,1,1,4,2,6
8,1,1,2,2,2,0
9,1,1,5,1,2,0
10,1,2,3,3,2,0
11,1,1,2,2,3,4
12,1,3,3,3,1,2
13,1,2,4,3,2,2
14,1,1,5,2,3,0
15,1,2,4,4,1,4
16,1,2,2,3,3,6
17,1,1,3,2,2,4
18,2,4,5,5,1,16
19,1,3,1,3,1,4
20,1,1,4,1,2,0
21,1,1,4,2,1,0
22,1,3,5,1,2,2
23,2,4,4,4,2,0
24,1,1,3,2,3,2
25,1,3,2,2,1,14
26,1,2,2,2,1,2
27,2,4,2,4,1,4
28,1,1,3,3,2,4
29,5,5,4,5,2,16
30,3,4,4,2,2,0
31,1,1,3,1,2,0
32,1,1,5,2,2,0
33,1,1,3,2,2,0
34,1,1,4,3,1,0
35,1,1,5,1,1,0
36,1,1,4,3,3,2
37,1,1,4,3,3,7
38,1,1,3,2,3,2
39,1,1,3,1,1,8
40,1,2,3,3,2,25
41,2,4,4,3,1,8
42,1,1,3,3,2,2
43,1,1,4,1,1,0
44,2,2,3,3,2,14
45,1,1,2,2,2,8
46,1,4,3,5,2,12
47,1,1,2,2,4,4
48,2,2,3,3,2,2
49,1,1,4,4,2,2
50,2,3,3,3,2,2
51,1,1,3,3,2,2
52,3,4,5,5,1,6
53,2,3,3,4,1,0
54,4,4,3,4,1,6
55,1,1,3,4,2,8
56,1,1,3,2,2,0
57,1,1,2,2,2,4
58,1,1,3,2,2,2
59,1,1,2,3,2,2
60,2,3,4,4,2,6
61,5,5,5,5,1,6
62,1,1,4,3,2,4
63,2,4,4,4,3,2
64,2,4,4,4,2,0
65,1,2,4,3,2,2
66,5,5,3,3,4,4
67,1,2,3,3,4,4
68,1,3,1,3,2,2
69,2,3,4,2,4,12
70,1,1,3,2,4,0
71,1,1,3,3,4,0
72,2,4,3,4,2,2
73,2,2,3,2,1,2
74,2,4,3,3,2,54
75,2,3,3,3,2,6
76,1,1,4,3,4,8
77,1,3,2,3,4,0
78,1,1,5,1,1,2
79,1,2,4,3,2,12
80,1,3,2,2,1,2
81,1,2,3,2,3,4
82,1,1,4,4,2,10
83,1,3,3,3,2,4
84,2,3,3,2,2,2
85,2,3,4,4,2,6
86,1,2,3,4,2,4
87,1,3,3,3,3,4
88,1,1,4,2,2,12
89,3,5,1,3,2,18
90,1,3,3,3,3,0
91,1,3,5,5,1,4
92,2,3,3,3,2,4
93,1,1,3,3,2,0
94,1,1,3,4,4,6
95,1,1,1,2,4,2
96,1,1,3,3,1,2
97,1,1,3,5,2,2
98,1,2,3,4,1,6
99,1,1,3,5,3,0
100,5,5,5,5,1,14
101,1,1,4,3,3,0
102,1,1,3,3,1,4
103,1,1,3,5,2,26
104,1,1,4,4,2,0
105,1,1,3,3,4,10
106,1,1,1,2,4,8
107,1,1,3,3,3,2
108,3,5,3,5,4,6
109,1,1,4,5,3,4
110,1,1,5,3,1,6
111,1,1,1,2,3,0
112,1,1,1,2,2,6
113,1,1,5,2,1,10
114,1,1,4,2,2,8
115,1,2,4,4,2,2
116,1,1,4,3,2,2
117,1,1,4,2,1,0
118,1,4,2,4,2,20
119,1,2,4,3,1,6
120,1,2,2,3,2,2
121,1,2,5,4,4,6
122,1,2,2,2,2,2
123,1,4,4,4,1,18
124,1,1,4,4,2,0
125,3,2,5,5,1,0
126,1,1,3,2,2,0
127,1,1,4,2,2,2
128,1,2,3,3,1,0
129,2,5,5,5,1,8
130,2,2,2,2,3,0
131,1,2,3,3,1,0
132,1,3,4,4,1,12
133,1,4,2,1,1,16
134,1,1,3,3,2,0
135,1,1,3,3,3,0
136,2,4,4,5,2,0
137,1,1,3,2,1,0
138,1,3,4,4,2,0
139,1,1,3,2,1,0
140,1,1,2,2,4,0
141,2,2,3,3,1,8
142,1,1,2,2,3,2
143,3,3,4,4,1,2
144,1,2,4,5,1,0
145,1,2,4,2,2,0
146,1,1,3,2,2,0
147,1,1,3,2,2,2
148,2,1,3,2,1,0
149,2,5,5,5,1,0
150,2,5,3,5,1,0
151,3,5,4,4,1,6
152,2,3,2,1,3,8
153,1,1,5,4,1,0
154,1,1,2,1,1,0
155,1,1,4,4,2,2
156,3,3,2,2,1,8
157,1,5,2,5,1,6
158,1,2,2,2,1,2
159,4,4,5,5,2,4
160,2,2,3,2,1,0
161,1,4,4,4,2,6
162,2,4,4,4,1,0
163,1,4,3,3,1,2
164,1,5,3,5,2,0
165,1,1,5,2,1,16
166,2,4,3,5,2,4
167,1,1,2,3,2,0
168,1,1,1,5,2,0
169,1,1,4,2,2,0
170,2,4,4,5,1,0
171,1,1,3,2,2,2
172,1,3,4,4,2,0
173,1,1,3,5,2,0
174,1,1,4,5,2,4
175,4,4,4,4,2,4
176,1,4,4,4,2,2
177,1,4,3,4,2,4
178,3,4,3,3,1,10
179,1,1,2,3,2,4
180,2,3,4,3,2,10
181,1,2,2,3,2,2
182,2,3,4,2,2,0
183,2,3,3,3,2,56
184,1,2,2,2,2,14
185,2,3,3,4,2,12
186,1,2,3,3,1,2
187,1,2,2,3,2,0
188,1,3,3,3,2,6
189,1,5,1,3,2,4
190,1,1,3,3,2,10
191,1,1,3,3,2,0
192,4,5,4,4,2,12
193,3,4,3,2,1,8
194,1,1,3,3,1,0
195,1,1,3,2,2,0
196,1,2,2,3,1,4
197,3,5,3,4,1,8
198,2,3,2,4,1,24
199,1,2,5,2,2,0
200,1,5,3,5,2,2
201,1,3,4,3,2,6
202,1,3,4,4,2,4
203,1,2,3,2,1,18
204,1,1,3,5,4,6
205,3,4,4,3,3,28
206,2,2,3,3,2,5
207,1,1,3,2,2,10
208,1,4,3,2,1,6
209,1,1,4,2,3,6
210,1,2,3,3,4,10
211,4,5,3,5,2,13
212,1,1,3,4,2,0
213,2,4,4,4,2,15
214,1,2,2,1,1,12
215,1,3,4,4,2,2
216,2,4,4,5,2,22
217,2,4,2,4,2,13
218,1,4,3,3,1,3
219,1,1,3,3,3,4
220,1,2,2,5,2,2
221,1,1,3,4,3,0
222,1,1,3,1,2,2
223,5,5,3,3,2,0
224,1,1,3,2,3,0
225,1,1,3,3,2,16
226,1,3,3,4,2,10
227,1,3,3,3,2,2
228,4,5,3,2,2,14
229,1,2,2,3,3,10
230,1,2,2,3,2,14
231,1,1,5,2,2,4
232,1,3,5,5,2,14
233,2,4,2,4,2,2
234,1,1,4,2,2,18
235,1,3,3,3,3,10
236,5,5,4,2,2,4
237,1,1,5,2,1,20
238,1,1,1,1,2,2
239,3,5,5,4,2,0
240,1,4,5,5,2,14
241,2,3,3,3,2,2
242,1,1,4,5,1,0
243,1,2,3,2,1,0
244,1,1,4,4,3,0
245,1,1,3,3,1,6
246,1,1,2,2,1,4
247,5,5,4,5,1,16
248,1,3,3,3,2,8
249,2,4,3,2,1,0
250,2,4,4,5,1,0
251,1,3,3,3,2,6
252,2,5,2,5,1,4
253,1,3,3,2,1,0
254,2,4,4,2,1,0
255,1,2,4,4,1,2
256,1,1,2,3,4,6
257,1,1,3,1,2,12
258,1,2,2,4,2,8
259,1,1,4,1,4,0
260,1,3,1,2,2,21
261,1,1,3,2,2,2
262,1,1,3,2,3,1
263,1,1,2,3,3,4
264,1,1,3,3,3,0
265,3,4,2,5,2,13
266,3,4,4,4,2,2
267,2,2,3,4,2,8
268,1,3,4,5,2,10
269,1,2,3,5,2,0
270,3,3,3,5,2,15
271,1,3,5,5,4,4
272,1,1,4,3,2,2
273,2,2,5,2,2,2
274,1,1,3,3,2,2
275,2,3,4,4,2,6
276,1,1,1,1,2,75
277,1,4,2,4,1,22
278,1,1,4,4,2,15
279,1,2,2,3,1,8
280,2,4,5,4,1,30
281,3,4,4,4,1,19
282,1,1,2,2,4,1
283,1,1,4,4,2,4
284,1,2,4,5,2,4
285,1,2,3,3,2,2
286,1,2,3,3,3,5
287,1,1,3,3,3,6
288,1,3,2,4,3,6
289,1,1,4,3,2,9
290,1,4,3,2,2,11
291,1,2,2,2,3,0
292,1,1,4,3,2,12
293,1,1,1,2,4,6
294,1,1,4,2,3,8
295,1,3,4,3,1,4
296,2,3,3,4,2,0
297,1,2,4,5,2,10
298,1,1,3,3,4,0
299,2,2,4,2,1,5
300,1,1,2,4,2,14
301,2,2,1,1,1,0
302,1,1,3,3,3,0
303,1,2,2,2,4,0
304,1,1,4,4,2,20
305,1,1,4,3,2,8
306,1,1,5,3,1,0
307,1,1,3,4,1,38
308,1,2,5,3,2,0
309,1,3,4,3,2,18
310,2,2,2,4,2,0
311,1,1,4,1,2,20
312,2,2,5,2,2,3
313,1,2,2,2,2,22
314,1,1,1,2,3,14
315,1,1,1,2,3,40
316,1,2,3,3,2,0
317,1,1,3,4,3,9
318,2,5,3,4,3,0
319,3,3,4,4,2,2
320,1,2,2,2,2,23
321,1,1,2,2,2,12
322,2,2,3,2,3,3
323,2,3,4,3,3,1
324,2,3,3,3,3,0
325,2,2,3,3,3,3
326,3,5,3,5,1,3
327,5,5,4,5,1,8
328,1,3,4,4,3,7
329,1,2,3,3,3,4
330,2,4,5,5,4,2
331,1,1,4,3,3,7
332,1,1,3,4,2,0
333,1,1,3,3,2,0
334,1,1,4,4,4,0
335,1,3,4,5,3,16
336,1,2,4,3,3,12
337,2,3,3,2,2,0
338,1,1,3,3,4,7
