,educacion_m,educacion_p,trabajo_m,trabajo_p
0,4,4,at_home,teacher
1,1,1,at_home,other
2,1,1,at_home,other
3,4,2,health,services
4,3,3,other,other
5,4,3,services,other
6,2,2,other,other
7,4,4,other,teacher
8,3,2,services,other
9,3,4,other,other
10,4,4,teacher,health
11,2,1,services,other
12,4,4,health,services
13,4,3,teacher,other
14,2,2,other,other
15,4,4,health,other
16,4,4,services,services
17,3,3,other,other
18,3,2,services,services
19,4,3,health,other
20,4,3,teacher,other
21,4,4,health,health
22,4,2,teacher,other
23,2,2,other,other
24,2,4,services,health
25,2,2,services,services
26,2,2,other,other
27,4,2,health,services
28,3,4,services,other
29,4,4,teacher,teacher
30,4,4,health,services
31,4,4,services,services
32,4,3,teacher,at_home
33,3,3,other,other
34,3,2,other,other
35,2,3,other,other
36,4,3,teacher,services
37,4,4,other,teacher
38,3,4,services,health
39,2,2,at_home,other
40,2,2,other,other
41,4,4,teacher,other
42,4,4,services,teacher
43,2,2,services,services
44,2,2,other,at_home
45,4,3,other,other
46,3,3,other,services
47,4,3,health,services
48,4,2,teacher,other
49,4,4,services,teacher
50,2,2,services,services
51,4,2,health,other
52,4,2,health,health
53,4,4,services,services
54,3,3,other,other
55,2,1,other,other
56,4,3,services,services
57,4,4,teacher,health
58,1,2,other,at_home
59,4,2,services,other
60,4,4,health,teacher
61,1,1,services,services
62,1,2,other,services
63,4,3,teacher,health
64,4,3,services,services
65,4,3,teacher,services
66,4,4,other,services
67,3,1,services,other
68,2,2,health,services
69,3,1,other,other
70,3,1,other,other
71,4,2,other,other
72,1,1,other,other
73,3,1,other,other
74,3,3,other,services
75,4,3,teacher,other
76,4,0,teacher,other
77,2,2,other,other
78,2,1,other,other
79,3,4,at_home,other
80,2,3,other,services
81,2,3,other,other
82,3,2,services,other
83,2,2,services,services
84,1,1,other,other
85,4,4,services,services
86,2,2,at_home,other
87,4,2,other,other
88,2,2,services,other
89,4,4,teacher,health
90,3,3,other,other
91,4,3,services,other
92,3,1,other,other
93,4,2,teacher,services
94,2,2,services,health
95,1,1,at_home,other
96,4,3,services,other
97,2,1,other,other
98,4,4,other,other
99,4,3,other,at_home
100,4,4,services,services
101,4,4,services,teacher
102,4,4,services,other
103,3,2,services,other
104,3,4,services,other
105,3,3,other,health
106,2,2,other,other
107,3,3,services,other
108,4,4,other,other
109,4,4,health,health
110,4,4,teacher,teacher
111,3,3,services,other
112,2,2,at_home,other
113,4,2,teacher,other
114,2,1,health,services
115,4,4,teacher,teacher
116,4,4,other,teacher
117,3,3,other,services
118,1,3,other,other
119,3,4,other,other
120,1,2,at_home,services
121,2,2,services,services
122,2,4,other,health
123,4,4,health,other
124,2,2,other,other
125,3,4,services,services
126,3,4,other,other
127,0,1,at_home,other
128,2,2,services,other
129,4,4,teacher,teacher
130,3,4,services,teacher
131,1,1,at_home,other
132,2,2,other,other
133,3,4,services,other
134,3,4,at_home,teacher
135,4,4,services,at_home
136,3,4,at_home,other
137,3,3,other,other
138,1,1,services,other
139,4,4,teacher,teacher
140,4,3,teacher,services
141,2,2,services,services
142,4,4,teacher,services
143,1,1,at_home,at_home
144,2,1,other,other
145,1,1,other,services
146,3,2,health,services
147,1,2,at_home,other
