,genero,edad,direccion,actividades,internet,pareja,estado,custodia
0,F,18,city,no,no,no,separate,mother
1,F,17,city,no,yes,no,together,father
2,F,15,city,no,yes,no,together,mother
3,F,15,city,yes,yes,yes,together,mother
4,F,16,city,no,no,no,together,father
5,M,16,city,yes,yes,no,together,mother
6,M,16,city,no,yes,no,together,mother
7,F,17,city,no,no,no,separate,mother
8,M,15,city,no,yes,no,separate,mother
9,M,15,city,yes,yes,no,together,mother
10,F,15,city,no,yes,no,together,mother
11,F,15,city,yes,yes,no,together,father
12,M,15,city,yes,yes,no,together,father
13,M,15,city,no,yes,no,together,mother
14,M,15,city,no,yes,yes,separate,other
15,F,16,city,no,yes,no,together,mother
16,F,16,city,yes,yes,no,together,mother
17,F,16,city,yes,no,no,together,mother
18,M,17,city,yes,yes,no,together,mother
19,M,16,city,yes,yes,no,together,father
20,M,15,city,no,yes,no,together,mother
21,M,15,city,no,yes,no,together,father
22,M,16,city,yes,yes,no,together,mother
23,M,16,city,yes,yes,no,together,mother
24,F,15,town,yes,yes,no,together,mother
25,F,16,city,no,yes,no,together,mother
26,M,15,city,no,yes,no,together,mother
27,M,15,city,no,yes,no,together,mother
28,M,16,city,yes,yes,no,separate,mother
29,M,16,city,yes,yes,yes,together,mother
30,M,15,city,no,yes,no,together,mother
31,M,15,city,yes,yes,no,together,mother
32,M,15,town,yes,yes,yes,together,mother
33,M,15,city,yes,yes,no,together,mother
34,M,16,city,no,yes,no,together,mother
35,F,15,city,yes,no,no,together,father
36,M,15,city,yes,yes,no,together,mother
37,M,16,town,yes,yes,yes,separate,mother
38,F,15,town,yes,yes,no,together,mother
39,F,15,town,yes,no,no,together,mother
40,F,16,city,yes,yes,yes,together,mother
41,M,15,city,no,yes,yes,together,other
42,M,15,city,yes,yes,no,together,father
43,M,15,city,no,yes,no,together,father
44,F,16,city,yes,yes,no,together,father
45,F,15,city,yes,yes,yes,separate,mother
46,F,16,city,no,yes,no,separate,mother
47,M,16,city,yes,yes,no,together,mother
48,M,15,city,no,no,no,together,mother
49,F,15,city,yes,yes,no,together,father
50,F,16,city,no,yes,no,together,mother
51,F,15,city,no,yes,no,together,mother
52,M,15,city,no,no,no,separate,father
53,F,15,city,no,yes,no,together,mother
54,F,15,city,no,yes,no,separate,mother
55,F,16,city,yes,yes,yes,separate,mother
56,F,15,city,yes,yes,no,separate,mother
57,M,15,city,yes,no,no,together,mother
58,M,15,city,yes,yes,no,together,father
59,F,16,city,no,yes,no,together,mother
60,F,16,town,yes,no,no,together,mother
61,F,16,city,yes,yes,yes,together,father
62,F,16,city,yes,yes,no,together,father
63,F,16,city,yes,yes,no,together,mother
64,F,15,city,yes,yes,yes,together,father
65,F,16,city,yes,yes,no,together,mother
66,M,15,city,yes,yes,yes,separate,mother
67,F,16,city,no,yes,no,together,mother
68,F,15,town,no,yes,no,together,mother
69,F,15,town,no,yes,no,together,father
70,M,16,city,no,yes,no,together,father
71,M,15,city,no,yes,no,together,mother
72,F,15,town,no,yes,yes,together,mother
73,M,16,city,yes,no,no,together,mother
74,F,16,city,yes,yes,no,together,mother
75,M,15,city,yes,yes,no,together,mother
76,M,15,city,yes,yes,no,together,mother
77,F,16,city,no,yes,yes,together,mother
78,M,17,city,yes,yes,no,together,mother
79,F,16,city,no,yes,no,together,mother
80,M,15,city,yes,yes,yes,together,father
81,M,15,city,no,yes,no,together,mother
82,F,15,city,no,yes,no,together,mother
83,M,15,city,yes,yes,no,together,mother
84,F,15,city,yes,yes,no,together,father
85,F,15,city,no,yes,yes,together,father
86,F,16,city,no,no,no,together,mother
87,F,15,city,yes,yes,no,together,mother
88,M,16,city,yes,yes,no,together,father
89,M,16,city,no,no,no,separate,mother
90,F,16,city,no,yes,yes,together,mother
91,F,15,city,yes,yes,no,together,mother
92,F,16,city,no,no,no,together,father
93,F,16,city,yes,yes,no,together,mother
94,M,15,city,yes,yes,no,together,mother
95,F,15,town,yes,yes,no,together,mother
